app,genre,rank,chart
TonalEnergy Tuner & Metronome,Music,88,paid-apps
Pou,Games,89,paid-apps
Monument Valley,Games,90,paid-apps
Florence,Games,91,paid-apps
Papa's Taco Mia To Go!,Games,92,paid-apps
Toca Life: School,Education,93,paid-apps
Cluedo: Classic Mystery Game,Games,94,paid-apps
Toca Life: Office,Education,95,paid-apps
Fantasy Baseball Draft Kit '18,Sports,96,paid-apps
Toca Life: Vacation,Education,97,paid-apps
Zombieville USA 2,Games,98,paid-apps
Toca Lab: Elements,Entertainment,99,paid-apps
HappyCow Find Vegan Food,Travel,100,paid-apps
Fortnite,Games,1,free-apps
Rise Up,Games,2,free-apps
Flip the Gun - Simulator Game,Games,3,free-apps
Instagram,Photo & Video,4,free-apps
Snapchat,Photo & Video,5,free-apps
Messenger,Social Networking,6,free-apps
Facebook,Social Networking,7,free-apps
Google Maps - GPS Navigation,Navigation,8,free-apps
Bitmoji,Utilities,9,free-apps
Netflix,Entertainment,10,free-apps
Gmail - Email by Google,Productivity,11,free-apps
Spotify Music,Music,12,free-apps
Granny,Games,13,free-apps
The Sims™ Mobile,Games,14,free-apps
Helix Jump,Games,15,free-apps
Pandora Music,Music,16,free-apps
Uber,Travel,17,free-apps
Amazon – Shopping made easy,Shopping,18,free-apps
Wish - Shopping Made Fun,Shopping,19,free-apps
SPILLZ,Games,20,free-apps
WhatsApp Messenger,Social Networking,21,free-apps
NCAA March Madness Live,Sports,22,free-apps
Blast Valley,Games,23,free-apps
Word Search Pro‧,Games,24,free-apps
Splashy!,Games,25,free-apps
musical.ly,Photo & Video,26,free-apps
Snake VS Block,Games,27,free-apps
Google Photos,Photo & Video,28,free-apps
Lyft,Travel,29,free-apps
AliExpress Shopping App,Shopping,30,free-apps
Pinterest,Social Networking,31,free-apps
Partymasters - Fun Idle Game,Games,32,free-apps
ROBLOX,Games,33,free-apps
Waze Navigation & Live Traffic,Navigation,34,free-apps
Cash App,Finance,35,free-apps
Color by Number: Coloring Book,Games,36,free-apps
SoundCloud - Music & Audio,Music,37,free-apps
Uber Eats: Food Delivery,Food & Drink,38,free-apps
OfferUp - Buy. Sell. Simple.,Shopping,39,free-apps
Will it Crush?,Games,40,free-apps
Poshmark,Shopping,41,free-apps
Subway Surfers,Games,42,free-apps
Walmart – Shopping and Saving,Shopping,43,free-apps
Hulu: Watch TV Shows & Movies,Entertainment,44,free-apps
Yelp: Discover Local Favorites,Travel,45,free-apps
Bible,Reference,46,free-apps
Dancing Line,Games,47,free-apps
Groupon,Shopping,48,free-apps
Donuts Drift,Games,49,free-apps
letgo: Buy & Sell Secondhand,Shopping,50,free-apps
Pixel Art - Color by Number,Games,51,free-apps
Baseball Boy!,Games,52,free-apps
Venmo: Send & Receive Money,Finance,53,free-apps
Bowmasters - Multiplayer Game,Games,54,free-apps
iHeartRadio,Music,55,free-apps
PayPal: Mobile Cash,Finance,56,free-apps
"Good Pizza, Great Pizza",Games,57,free-apps
Google Drive,Productivity,58,free-apps
Peak - Brain Training,Education,59,free-apps
Piano Tiles 2™,Games,60,free-apps
Will Hero,Games,61,free-apps
Twisty Road!,Games,62,free-apps
Car vs Cops,Games,63,free-apps
"Find My Family, Friends, Phone",Social Networking,64,free-apps
eBay: Buy & Sell - Find Deals,Shopping,65,free-apps
Sky Ball,Games,66,free-apps
Knife Hit,Games,67,free-apps
Huji Cam,Photo & Video,68,free-apps
Amazon Music,Music,69,free-apps
Word Crossy - A crossword game,Games,70,free-apps
Flipagram,Photo & Video,71,free-apps
Amazon Prime Video,Entertainment,72,free-apps
Shape Escape!,Games,73,free-apps
Weight Loss RUNNING,Health & Fitness,74,free-apps
Toon Blast,Games,75,free-apps
Candy Crush Saga,Games,76,free-apps
Target,Shopping,77,free-apps
Final Fantasy XV: A New Empire,Games,78,free-apps
Houseparty,Social Networking,79,free-apps
Google Docs,Productivity,80,free-apps
Choices: Stories You Play,Games,81,free-apps
Starbucks,Food & Drink,82,free-apps
Shazam,Music,83,free-apps
Rolly Vortex,Games,84,free-apps
Kick the Buddy,Games,85,free-apps
Emoji Me Keyboard | Zmoji,Utilities,86,free-apps
Stack Jump,Games,87,free-apps
Xbox,Entertainment,88,free-apps
Zillow Real Estate & Rentals,Lifestyle,89,free-apps
8 Ball Pool™,Games,90,free-apps
Cartoon Network Match Land,Games,91,free-apps
Marco Polo Video Walkie Talkie,Social Networking,92,free-apps
Rolling Sky,Games,93,free-apps
Musi - Simple Music Streaming,Music,94,free-apps
Sing! by Smule,Music,95,free-apps
Credit Karma,Finance,96,free-apps
Bike Race: Motorcycle Racing,Games,97,free-apps
Episode - Choose Your Story,Games,98,free-apps
Layout from Instagram,Photo & Video,99,free-apps
Discord,Social Networking,100,free-apps
