app,genre,rank,chart
Tamagotchi Classic -Original-,Games,83,paid-apps
Hear My Baby Heartbeat App,Medical,84,paid-apps
TurboScan™ Pro: PDF scanner,Business,85,paid-apps
KetoDiet,Health & Fitness,86,paid-apps
SpongeBob Moves In,Games,87,paid-apps
"Skater - Skate Legendary Spots, Perfect Board Feel",Games,88,paid-apps
HeartWatch. Heart & Activity,Health & Fitness,89,paid-apps
Reigns,Games,90,paid-apps
HappyCow Find Vegan Food,Travel,91,paid-apps
Cytus II,Games,92,paid-apps
VHS Camcorder,Photo & Video,93,paid-apps
Emoji - inTextMoji™ Pro ;),Entertainment,94,paid-apps
Toca Life: City,Education,95,paid-apps
Phase 10 Pro,Games,96,paid-apps
Photo Scanner Plus,Photo & Video,97,paid-apps
Five Nights at Freddys 4,Games,98,paid-apps
Enlight,Photo & Video,99,paid-apps
Parkour Flight,Games,100,paid-apps
The Sims™ Mobile,Games,1,free-apps
Car vs Cops,Games,2,free-apps
ESPN Tournament Challenge,Sports,3,free-apps
Instagram,Photo & Video,4,free-apps
Messenger,Social Networking,5,free-apps
Gmail - Email by Google,Productivity,6,free-apps
Snapchat,Photo & Video,7,free-apps
Google Maps - GPS Navigation,Navigation,8,free-apps
Facebook,Social Networking,9,free-apps
Bitmoji,Utilities,10,free-apps
Will it Crush?,Games,11,free-apps
Netflix,Entertainment,12,free-apps
Sky Ball,Games,13,free-apps
NCAA March Madness Live,Sports,14,free-apps
1LINE one-stroke puzzle game,Games,15,free-apps
Shape Escape!,Games,16,free-apps
Spotify Music,Music,17,free-apps
Pandora Music,Music,18,free-apps
Wish - Shopping Made Fun,Shopping,19,free-apps
Uber,Travel,20,free-apps
Helix Jump,Games,21,free-apps
Amazon – Shopping made easy,Shopping,22,free-apps
WhatsApp Messenger,Social Networking,23,free-apps
Granny,Games,24,free-apps
Partymasters - Fun Idle Game,Games,25,free-apps
Baseball Boy!,Games,26,free-apps
Google Photos,Photo & Video,27,free-apps
Twisty Road!,Games,28,free-apps
AliExpress Shopping App,Shopping,29,free-apps
musical.ly,Photo & Video,30,free-apps
Pinterest,Social Networking,31,free-apps
Cash App,Finance,32,free-apps
Lyft,Travel,33,free-apps
Peak - Brain Training,Education,34,free-apps
OfferUp - Buy. Sell. Simple.,Shopping,35,free-apps
SoundCloud - Music & Audio,Music,36,free-apps
Walmart – Shopping and Saving,Shopping,37,free-apps
Google Docs,Productivity,38,free-apps
Google Drive,Productivity,39,free-apps
Hulu: Watch TV Shows & Movies,Entertainment,40,free-apps
Color by Number: Coloring Book,Games,41,free-apps
letgo: Buy & Sell Secondhand,Shopping,42,free-apps
Splashy!,Games,43,free-apps
Poshmark,Shopping,44,free-apps
Waze Navigation & Live Traffic,Navigation,45,free-apps
Microsoft Outlook,Productivity,46,free-apps
Color Road!,Games,47,free-apps
Word Search Pro‧,Games,48,free-apps
Score! Match,Games,49,free-apps
Groupon,Shopping,50,free-apps
Venmo: Send & Receive Money,Finance,51,free-apps
Uber Eats: Food Delivery,Food & Drink,52,free-apps
PayPal: Mobile Cash,Finance,53,free-apps
ROBLOX,Games,54,free-apps
Emoji Me Keyboard | Zmoji,Utilities,55,free-apps
iHeartRadio,Music,56,free-apps
Paintball Arena Challenge,Games,57,free-apps
Knife Hit,Games,58,free-apps
Yelp: Discover Local Favorites,Travel,59,free-apps
Talking Tom Camp,Games,60,free-apps
Yahoo Mail,Productivity,61,free-apps
Puzzledom,Games,62,free-apps
Choices: Stories You Play,Games,63,free-apps
Pixel Art - Color by Number,Games,64,free-apps
Bowmasters - Multiplayer Game,Games,65,free-apps
Snake VS Block,Games,66,free-apps
Best VPN Proxy Betternet,Productivity,67,free-apps
Subway Surfers,Games,68,free-apps
Final Fantasy XV: A New Empire,Games,69,free-apps
UNICORN - Color by Number Game,Entertainment,70,free-apps
